film	id	rank	release_date	verdict	budget	first_week	tot_net_gross
Gangster	2919	1497	20-Oct-95	Disaster	10000000	4400000	6175000
Muskaan	487	1498	26-Mar-04	Disaster	40000000	13100000	20400000
Pataakha	3919	1499	28-Sep-18	Disaster	190000000	76100000	79625000
Watan	3107	1500	17-Jun-94	Disaster	5000000	1600000	3400000
Namaste England	3968	1501	18-Oct-18	Disaster	540000000	74800000	79225000
Zahreela	703	1502	2-Mar-01	Disaster	12500000	5300000	8650000
Paagalpan	2055	1503	8-Jun-01	Disaster	22500000	6700000	10300000
Risk	352	1504	19-Jan-07	Disaster	60000000	24500000	28300000
Aapko Pehle Bhi Kahin Dekha Hai	579	1505	10-Jan-03	Disaster	42500000	11900000	15150000
Pran Jaye Par Shaan Na Jaye	551	1506	2-May-03	Disaster	32500000	9700000	15275000
Paltan	3830	1507	7-Sep-18	Disaster	350000000	73000000	77700000
Sholay Aur Toofan	3167	1508	4-Mar-94	Disaster	2500000	1600000	3100000
Dharma Karma	2643	1509	3-Oct-97	Disaster	12500000	3600000	6450000
Thanedaarni	3187	1510	7-Jan-94	Disaster	3000000	NaN	2900000
Kaun Sachcha Kaun Jhootha	2692	1511	11-Apr-97	Disaster	20000000	5400000	7325000
Ek Se Badhkar Ek	496	1512	17-Sep-04	Disaster	65000000	17500000	21150000
Teen Patti	101	1513	26-Feb-10	Disaster	180000000	46200000	47650000
C Kkompany	217	1514	29-Aug-08	Disaster	100000000	31400000	34900000
Kaafila	249	1515	10-Aug-07	Disaster	170000000	21600000	24675000
Filhaal...	631	1516	1-Feb-02	Disaster	40000000	10900000	19100000
Chaar Din Ki Chandni	22	1517	9-Mar-12	Disaster	125000000	41100000	48600000
Guest In London	3560	1518	7-Jul-17	Disaster	280000000	69500000	72550000
Maseeha	645	1519	13-Dec-02	Disaster	45000000	7750000	11550000
Noor	3512	1520	21-Apr-17	Disaster	240000000	66400000	67125000
Sarhad	2927	1521	6-Oct-95	Disaster	12500000	3850000	6600000
Sabse Bada Beimaan	2164	1522	2-Jun-00	Disaster	12500000	4000000	7800000
Justice Chowdhary	2142	1523	4-Aug-00	Disaster	10000000	4600000	7850000
Mr. White Mr. Black	326	1524	2-May-08	Disaster	110000000	24900000	28075000
Indian Babu	582	1525	7-Mar-03	Disaster	47500000	8200000	12900000
Shikaar - The Musical Thriller	1829	1526	2-Jul-04	Disaster	35000000	9850000	16000000
Oops!	654	1527	1-Aug-03	Disaster	27500000	12000000	19625000
Rog	1762	1528	7-Jan-05	Disaster	35000000	19200000	22300000
Jaane Jigar	2554	1529	3-Jul-98	Disaster	12500000	4225000	7175000
Xcuse Me!	1193	1530	26-Sep-03	Disaster	22500000	12250000	17150000
Pyaar Diwana Hota Hai	630	1531	26-Apr-02	Disaster	42500000	6800000	10925000
Khelein Hum Jee Jaan Sey	131	1532	3-Dec-10	Disaster	390000000	45200000	46625000
Sikandar Sadak Ka	2464	1533	1-Jan-99	Disaster	20000000	4325000	6850000
Roadside Romeo	198	1534	24-Oct-08	Disaster	150000000	33850000	45400000
Phir Milenge	479	1535	27-Aug-04	Disaster	55000000	14700000	24950000
Fauj	3091	1536	29-Jul-94	Disaster	5500000	2050000	3275000
Dishkiyaoon	2214	1537	28-Mar-14	Disaster	39000000	44300000	45800000
Guddu Rangeela	2891	1538	3-Jul-15	Disaster	200000000	59700000	63950000
Tathastu	373	1539	12-May-06	Disaster	110000000	16450000	19350000
Kya Love Story Hai	1474	1540	20-Apr-07	Disaster	72500000	25900000	28950000
Agnee Morcha	2695	1541	4-Apr-97	Disaster	10000000	3150000	5225000
Darling	238	1542	7-Sep-07	Disaster	65000000	25000000	29050000
Uff Yeh Mohabbat	2729	1543	13-Dec-96	Disaster	15000000	4400000	7125000
Jai Veeru	788	1544	13-Mar-09	Disaster	150000000	24800000	27925000
Shikara	5756	1545	7-Feb-20	Disaster	140000000	62200000	72700000
Haseena Parkar	3608	1546	22-Sep-17	Disaster	180000000	63800000	66125000
Lo Main Aagayaa	2462	1547	8-Jan-99	Disaster	15000000	4225000	7125000
Bharat Bhagya Vidhata	1978	1548	19-Apr-02	Disaster	27500000	5050000	9000000
Acid Factory	167	1549	9-Oct-09	Disaster	210000000	37600000	37975000
Mere Do Anmol Ratan	2528	1550	4-Sep-98	Disaster	12500000	3700000	6600000
Dilbar	2932	1551	15-Sep-95	Disaster	9000000	2275000	4575000
Grahan	701	1552	16-Feb-01	Disaster	50000000	5100000	8500000
Shiva	372	1553	15-Nov-06	Disaster	60000000	21800000	24350000
Kalyug Ke Avtaar	2928	1554	6-Oct-95	Disaster	10000000	2650000	4175000
Samay - When Time Strikes	549	1555	10-Oct-03	Disaster	35000000	11200000	18450000
Ehsaas	1259	1556	30-Nov-01	Disaster	45000000	7000000	9675000
Avgat	2051	1557	1-Jun-01	Disaster	15000000	5950000	10025000
Agnichakra	2646	1558	26-Sep-97	Disaster	15000000	3700000	5500000
Pal Pal Dil Ke Paas	5711	1559	20-Sep-19	Disaster	450000000	59600000	69125000
Chef	3623	1560	6-Oct-17	Disaster	310000000	53400000	62300000
AK - 47	1800	1561	1-Oct-04	Disaster	45000000	8600000	14450000
Kaise Kahoon Ke... Pyaar Hai	573	1562	9-May-03	Disaster	30000000	7450000	11150000
Kalicharan	2517	1563	2-Oct-98	Disaster	10000000	3400000	5900000
Mehbooba	339	1564	11-Jul-08	Disaster	220000000	17200000	20050000
Padmashree Laloo Prasad Yadav	1755	1565	28-Jan-05	Disaster	65000000	11500000	16300000
Bhairav	2094	1566	19-Jan-01	Disaster	10000000	3550000	6950000
Baali Umar Ko Salaam	3173	1567	18-Feb-94	Disaster	6000000	2025000	2925000
Aksar 2	3656	1568	17-Nov-17	Disaster	90000000	45800000	50425000
Jackpot	1936	1569	13-Dec-13	Disaster	270000000	41900000	43750000
Total Siyaapa	2200	1570	7-Mar-14	Disaster	170000000	54000000	58050000
Coffee With D	3456	1571	20-Jan-17	Disaster	80000000	5100000	5170000
Ishq Hai Tumse	497	1572	2-Jan-04	Disaster	50000000	11800000	15450000
Jaane Kahan Se Aayi Hai	104	1573	9-Apr-10	Disaster	180000000	32400000	38675000
Iski Topi Uske Sarr	2550	1574	17-Jul-98	Disaster	12500000	3450000	5800000
Dil Pe Mat Le Yaar	792	1575	6-Oct-00	Disaster	27500000	5200000	9700000
Toh Baat Pakki	114	1576	19-Feb-10	Disaster	110000000	32400000	33700000
Rocky	1549	1577	22-Sep-06	Disaster	92500000	18300000	21550000
Chalo Ishq Ladaaye	1240	1578	27-Dec-02	Disaster	40000000	7200000	10475000
Mitti	2021	1579	26-Oct-01	Disaster	25000000	5000000	7425000
Jwalamukhi	2109	1580	24-Nov-00	Disaster	10000000	3550000	6600000
Police Force - An Inside Story	491	1581	28-May-04	Disaster	55000000	8050000	11950000
Sauda	3018	1582	3-Feb-95	Disaster	7000000	2825000	4325000
Gandhi My Father	245	1583	3-Aug-07	Disaster	80000000	23650000	34175000
Dahek	2266	1584	17-Dec-99	Disaster	27500000	5350000	7250000
Shaadi Karke Phas Gaya Yaar	385	1585	4-Aug-06	Disaster	110000000	16800000	19075000
Loot	852	1586	4-Nov-11	Disaster	150000000	31000000	31980000
Bangistan	2923	1587	7-Aug-15	Disaster	290000000	53100000	53360000
Arjun Patiala	5696	1588	26-Jul-19	Disaster	240000000	60700000	62150000
Bengal Tiger	2056	1589	8-Jun-01	Disaster	8500000	3600000	6350000
Kash... Aap Hamare Hote	583	1590	14-Feb-03	Disaster	50000000	6350000	9375000
Ankhon Mein Tum Ho	2619	1591	26-Dec-97	Disaster	15000000	3575000	5525000
Dil Diya Hai	291	1592	8-Sep-06	Disaster	85000000	20600000	23100000
Papi Gudia	2823	1592	16-Feb-96	Disaster	7000000	3100000	4525000
Gali Gali Chor Hai	24	1594	3-Feb-12	Disaster	130000000	35600000	37150000
Sher Khan	2522	1595	25-Sep-98	Disaster	10000000	3100000	5225000
Charas - A Joint Effort	476	1596	7-May-04	Disaster	55000000	13700000	16750000
Aatank	2825	1597	9-Feb-96	Disaster	15000000	2125000	4075000
Dhund - The Fog	560	1598	21-Feb-03	Disaster	25000000	7700000	10550000
Vadh	644	1599	29-Mar-02	Disaster	37500000	7500000	11300000
Arjun Devaa	2007	1600	23-Nov-01	Disaster	12500000	3450000	6450000
Miss 420	2609	1601	23-Jan-98	Disaster	12500000	3575000	5400000
Ansh	1980	1602	12-Apr-02	Disaster	17500000	5200000	7800000
Kis Kis Ki Kismet	1790	1603	22-Oct-04	Disaster	37500000	13300000	16950000
Aaj Ka Ravan	727	1604	29-Sep-00	Disaster	12500000	4250000	6025000
Yeh Zindagi Ka Safar	700	1605	16-Nov-01	Disaster	27500000	6150000	8275000
Barsaat Ki Raat	2589	1606	13-Mar-98	Disaster	12500000	4150000	5675000
Issaq	1377	1607	26-Jul-13	Disaster	250000000	38100000	39450000
Maqbool	1187	1608	30-Jan-04	Disaster	32500000	6700000	20000000
Raincoat	475	1609	24-Dec-04	Disaster	50000000	15900000	25400000
Rang Rasiya	2378	1610	7-Nov-14	Disaster	NaN	39800000	47600000
Escape From Taliban	556	1611	14-Feb-03	Disaster	35000000	5200000	8950000
Dil Ne Phir Yaad Kiya	694	1612	7-Sep-01	Disaster	30000000	5200000	7050000
Jaago	1181	1613	6-Feb-04	Disaster	40000000	9400000	12625000
Prassthanam	5712	1615	20-Sep-19	Disaster	390000000	47500000	55100000
Sonchiriya	5609	1615	1-Mar-19	Disaster	280000000	53900000	56325000
Fox	166	1616	4-Sep-09	Disaster	200000000	25200000	28650000
Dulha Mil Gaya	119	1617	8-Jan-10	Disaster	220000000	29600000	30850000
Jashnn	1094	1618	17-Jul-09	Disaster	72500000	26900000	28350000
Main Madhuri Dixit Banna Chahti Hoon	564	1619	10-Oct-03	Disaster	25000000	9650000	14625000
Rush	1165	1620	26-Oct-12	Disaster	180000000	32100000	33350000
Yeh Kaisi Mohabbat	1952	1621	13-Sep-02	Disaster	12500000	6100000	8200000
Bandit Lovers	2713	1622	17-Jan-97	Disaster	7500000	2225000	3650000
Soch	649	1623	23-Aug-02	Disaster	25000000	7000000	8400000
Meri Adalat	2001	1624	14-Dec-01	Disaster	12500000	3250000	5800000
Toonpur Ka Superrhero	132	1625	24-Dec-10	Disaster	250000000	23300000	35675000
Kaaboo	1245	1626	4-Oct-02	Disaster	12500000	3300000	6075000
Right Yaa Wrong	116	1627	12-Mar-10	Disaster	220000000	24800000	25725000
Rahul	2073	1628	6-Apr-01	Disaster	27500000	4800000	9800000
Kaanchi	2233	1629	25-Apr-14	Disaster	240000000	36500000	38900000
Param Vir Chakra	3007	1630	31-Mar-95	Disaster	10000000	2325000	5400000
Kaalakaandi	3697	1631	12-Jan-18	Disaster	180000000	43000000	47850000
Uljhan	2063	1632	4-May-01	Disaster	17500000	4000000	5800000
Kaun Rokega Mujhe	2622	1633	12-Dec-97	Disaster	15000000	2450000	4350000
Superstar	184	1634	8-Feb-08	Disaster	90000000	19300000	22950000
David	1227	1635	1-Feb-13	Disaster	350000000	37300000	38145000
Chamku	216	1636	29-Aug-08	Disaster	100000000	18100000	19750000
Gautam Govinda	1244	1637	11-Oct-02	Disaster	15000000	3500000	6200000
Megha	2815	1638	29-Mar-96	Disaster	8000000	2300000	3500000
Provoked	359	1639	7-Apr-06	Disaster	120000000	14500000	24100000
Haasil	536	1640	16-May-03	Disaster	37500000	6850000	11075000
Lav Kush	2668	1641	25-Jul-97	Disaster	50000000	2250000	4325000
Blank	5655	1642	3-May-19	Disaster	160000000	48800000	50050000
Junooniyat	3309	1643	24-Jun-16	Disaster	120000000	31000000	36925000
Maximum	1135	1644	29-Jun-12	Disaster	150000000	29400000	30245000
Rakht Charitra 2	129	1645	4-Dec-10	Disaster	190000000	24100000	25050000
Hijack	917	1646	5-Sep-08	Disaster	90000000	19900000	21350000
Chhal	646	1647	9-Aug-02	Disaster	15000000	5925000	8250000
Hadh	705	1648	2-Mar-01	Disaster	27500000	4300000	5975000
Bollywood Hollywood	1914	1649	3-Jan-03	Disaster	100000000	7600000	17200000
Bhaiaji Superhittt	5556	1650	23-Nov-18	Disaster	260000000	43000000	44825000
Sauda - The Deal	1668	1651	30-Sep-05	Disaster	25000000	6700000	11025000
One Night Stand	3274	1652	6-May-16	Disaster	170000000	32800000	34500000
Nanu Ki Jaanu	3749	1653	20-Apr-18	Disaster	150000000	43550000	44975000
Rok Sako To Rok Lo	1772	1654	10-Dec-04	Disaster	90000000	12300000	14950000
Woh Tera Naam Tha	506	1655	30-Jan-04	Disaster	27500000	5925000	8950000
Help	124	1656	13-Aug-10	Disaster	80000000	21300000	22900000
Ab... Bas!	1781	1657	26-Nov-04	Disaster	20000000	6950000	9675000
Love In Nepal	1180	1658	5-Mar-04	Disaster	45000000	6700000	9700000
Zameer - The Fire Within	431	1659	18-Feb-05	Disaster	45000000	5750000	9750000
Chaahat Ek Nasha...	1745	1660	11-Feb-05	Disaster	22500000	7500000	10450000
Kahani Kismet Ki	2443	1661	26-Mar-99	Disaster	20000000	2550000	4300000
Love Games	3262	1662	8-Apr-16	Disaster	100000000	29000000	31125000
Genius	3818	1663	24-Aug-18	Disaster	250000000	40100000	41600000
Angaar - The Fire	1981	1664	5-Apr-02	Disaster	9000000	3350000	5975000
Jimmy	315	1665	9-May-08	Disaster	90000000	11800000	13375000
Qaidi	1974	1666	3-May-02	Disaster	10000000	2450000	5150000
Namak	2727	1667	20-Dec-96	Disaster	12500000	2175000	3150000
Helicopter Eela	3956	1668	12-Oct-18	Disaster	240000000	41900000	42975000
Baankey Ki Crazy Baraat	2981	1669	28-Aug-15	Disaster	NaN	10850000	39490000
Bin Bulaye Baraati	807	1670	17-Jun-11	Disaster	100000000	16600000	23300000
Rama Rama Kya Hai Drama	185	1671	1-Feb-08	Disaster	80000000	17100000	20225000
Raja Rani's Love In Jungle	2937	1672	1-Sep-95	Disaster	3500000	1475000	2425000
Phobia	3290	1673	27-May-16	Disaster	85000000	35700000	37925000
Always Kabhi Kabhi	805	1674	17-Jun-11	Disaster	110000000	28850000	30775000
Masaan	2903	1675	24-Jul-15	Disaster	80000000	23100000	38075000
O Teri	2212	1676	28-Mar-14	Disaster	150000000	35400000	36250000
Souten - The Other Woman	1589	1677	24-Mar-06	Disaster	35000000	7600000	10825000
Jodi Kya Banayi Wah Wah Ramji	656	1678	14-Nov-03	Disaster	25000000	7900000	10600000
Iss Raat Ki Subah Nahin	2794	1679	7-Jun-96	Disaster	9000000	850000	5000000
Khandaani Shafakhana	5697	1680	2-Aug-19	Disaster	260000000	43900000	44150000
Hawayein	568	1681	22-Aug-03	Disaster	45000000	3900000	8300000
The Revenge Geeta Mera Naam	2140	1682	1-Sep-00	Disaster	5500000	2200000	4150000
Humko Tumse Pyaar Hai	1601	1683	24-Feb-06	Disaster	75000000	7400000	10225000
Veer Savarkar	2010	1684	30-Nov-01	Disaster	40000000	1600000	8100000
Mitron	3868	1685	14-Sep-18	Disaster	NaN	34500000	39825000
Chetna - The Excitement	1698	1686	24-Jun-05	Disaster	12500000	5750000	8300000
Insaaf - The Justice	502	1687	5-Mar-04	Disaster	47500000	6800000	8750000
Baarish	3329	1688	3-Dec-93	Disaster	4000000	825000	1687500
Daman	698	1689	4-May-01	Disaster	15000000	2650000	5650000
Chatur Singh Two Star	69	1690	19-Aug-11	Disaster	230000000	21700000	23300000
Lohpurush	2463	1691	8-Jan-99	Disaster	10000000	2200000	3725000
Mr. Joe B. Carvalho	2053	1692	3-Jan-14	Disaster	170000000	29250000	29650000
Chupp	2707	1693	14-Feb-97	Disaster	10000000	NaN	2900000
Kehtaa Hai Dil Baar Baar	648	1694	15-Nov-02	Disaster	30000000	4750000	8800000
Ramji Londonwaley	1679	1695	2-Sep-05	Disaster	40000000	11400000	16250000
Chingaari	286	1696	17-Feb-06	Disaster	50000000	9800000	13200000
Tere Bin Laden - Dead Or Alive	3234	1697	26-Feb-16	Disaster	130000000	33600000	33975000
Aanch	571	1698	26-Nov-03	Disaster	40000000	5050000	7650000
Dance Party	2943	1699	21-Jul-95	Disaster	7500000	1775000	2695000
Yash	2764	1700	30-Aug-96	Disaster	10000000	2550000	3500000
Reshma	2913	1701	3-Nov-95	Disaster	4000000	1300000	2350000
Bombay To Bangkok	182	1702	18-Jan-08	Disaster	70000000	18300000	19575000
Notebook	5633	1703	29-Mar-19	Disaster	190000000	39100000	40325000
Border Hindustan Ka	1902	1704	20-Jun-03	Disaster	17500000	3800000	5900000
Kucch Luv Jaisa	67	1705	27-May-11	Disaster	100000000	27000000	27875000
Dil Jo Bhi Kahey	1264	1706	23-Sep-05	Disaster	62500000	14700000	16925000
Dil Hi Dil Mein	2179	1707	21-Apr-00	Disaster	10000000	3400000	5450000
Inteqam - The Perfect Game	504	1708	29-Oct-04	Disaster	45000000	7000000	9400000
Khoya Khoya Chand	251	1709	7-Dec-07	Disaster	55000000	17200000	20825000
Hawaizaada	2603	1710	30-Jan-15	Disaster	340000000	34400000	35350000
Sharaarat	623	1711	12-Jul-02	Disaster	50000000	4300000	6325000
Kismet Love Paisa Dilli	1145	1712	5-Oct-12	Disaster	160000000	23500000	24175000
Champakali	2161	1713	23-Jun-00	Disaster	4500000	1700000	3600000
Jumbo	1372	1714	25-Dec-08	Disaster	210000000	16550000	25275000
Bazaar - The Market Of Love Lust And Desire	1845	1715	9-Apr-04	Disaster	8500000	3400000	6300000
Chaalis Chauraasi	25	1716	13-Jan-12	Disaster	92500000	22100000	25600000
Loveshhuda	3223	1717	19-Feb-16	Disaster	220000000	29200000	29620000
Zindaggi Rocks	380	1718	6-Oct-06	Disaster	70000000	15650000	19150000
Pizza	2283	1719	18-Jul-14	Disaster	100000000	33350000	33550000
Julie 2	3663	1720	24-Nov-17	Disaster	85000000	24900000	26000000
Kisaan	175	1721	28-Aug-09	Disaster	150000000	15200000	17700000
Lal Salaam	1973	1722	3-May-02	Disaster	12500000	3525000	5200000
Team - The Force	1078	1723	5-Jun-09	Disaster	80000000	13850000	15950000
Khanjar	586	1724	27-Jun-03	Disaster	50000000	3950000	6050000
No Smoking	257	1725	26-Oct-07	Disaster	75000000	18875000	20975000
Dil Ke Jharoke Mein	2691	1726	11-Apr-97	Disaster	12500000	2650000	3875000
Aashayein	110	1727	27-Aug-10	Disaster	180000000	21400000	22100000
Koi Aap Sa	1649	1728	14-Oct-05	Disaster	40000000	12800000	14475000
Manto	3879	1729	21-Sep-18	Disaster	NaN	29100000	33900000
Taj Mahal - An Eternal Love Story	1641	1730	18-Nov-05	Disaster	100000000	10900000	14700000
Chal Chala Chal	996	1731	6-Feb-09	Disaster	80000000	11700000	12950000
Teen Thay Bhai	59	1732	15-Apr-11	Disaster	110000000	23600000	24700000
Pyar Ka Rog	3140	1733	29-Apr-94	Disaster	4500000	1075000	1787500
Jayantabhai Ki Love Story	1246	1734	15-Feb-13	Disaster	145000000	23900000	24750000
Yeh Majhdhaar	2816	1735	29-Mar-96	Disaster	15000000	1850000	3150000
Lekar Hum Deewana Dil	2272	1736	4-Jul-14	Disaster	28200000	29150000	29885000
Nirnayak	2616	1737	26-Dec-97	Disaster	12500000	1900000	2850000
Patth	1190	1738	7-Nov-03	Disaster	22500000	4900000	6450000
Ek Aur Jung	2038	1739	20-Jul-01	Disaster	7000000	2350000	4400000
Baghaawat... Ek Jung	2090	1740	26-Jan-01	Disaster	9000000	1700000	3550000
Tum Milo Toh Sahi	121	1741	2-Apr-10	Disaster	120000000	19900000	21050000
Omerta	3761	1742	4-May-18	Disaster	120000000	30200000	32625000
Shagird	64	1744	13-May-11	Disaster	120000000	18300000	18675000
Shirdi Sai Baba	2028	1745	7-Sep-01	Disaster	32500000	2600000	4075000
Speedy Singhs	836	1746	23-Sep-11	Disaster	350000000	23050000	25635000
Classic Dance Of Love	1729	1746	18-Mar-05	Disaster	37500000	5300000	7100000
Do Lafzon Ki Kahani	3298	1747	10-Jun-16	Disaster	110000000	28000000	29400000
Ahista Ahista	270	1748	18-Aug-06	Disaster	40000000	14700000	16550000
Khullam Khulla Pyaar Karen	437	1749	29-Apr-05	Disaster	67500000	4300000	7450000
Maharathi	1367	1750	5-Dec-08	Disaster	95000000	18600000	20175000
Aazaan	846	1751	14-Oct-11	Disaster	330000000	16000000	18925000
Mohabbat Aur Jung	2588	1752	13-Mar-98	Disaster	9000000	1875000	3000000
Chhoti Bahoo	3054	1753	2-Dec-94	Disaster	5500000	1525000	2400000
Darwaza Bandh Rakho	289	1754	4-Aug-06	Disaster	37500000	14500000	16500000
Papa The Great	2151	1755	28-Jul-00	Disaster	17500000	3125000	4025000
Phhir	821	1756	12-Aug-11	Disaster	60000000	17000000	18475000
Jeena Isi Ka Naam Hai	3478	1757	3-Mar-17	Disaster	NaN	2175000	2280000
Anokha Andaaz	2984	1758	12-May-95	Disaster	8500000	NaN	2200000
Kuch Kuch Locha Hai	2863	1759	8-May-15	Disaster	150000000	25400000	26450000
The Body	5786	1760	13-Dec-19	Disaster	190000000	33400000	33775000
Moksha	1260	1761	30-Nov-01	Disaster	50000000	3100000	4900000
Machine	3485	1762	17-Mar-17	Disaster	300000000	21600000	22925000
Warning	1539	1763	27-Sep-13	Disaster	100000000	24100000	25380000
Hello Darling	125	1764	27-Aug-10	Disaster	110000000	18500000	19200000
Go	222	1765	5-Oct-07	Disaster	55000000	13500000	14085000
Geeta Mera Naam	2139	1766	1-Sep-00	Disaster	4000000	1650000	3100000
Fareb	435	1767	8-Jul-05	Disaster	35000000	5400000	7450000
Ek Chalis Ki Last Local	1467	1768	18-May-07	Disaster	35000000	15450000	18075000
Nidaan	2150	1769	28-Jul-00	Disaster	7500000	2900000	4800000
Welcome To New York	3721	1770	16-Feb-18	Disaster	360000000	29700000	30330000
Hatya - The Murder	1793	1771	15-Oct-04	Disaster	12500000	3700000	5950000
Return Of Hanuman	1514	1772	28-Dec-07	Disaster	160000000	13850000	18525000
Snip!	2111	1773	8-Dec-00	Disaster	8000000	3175000	6250000
Sur - The Melody of Life	641	1774	13-Sep-02	Disaster	20000000	5325000	7075000
Vartmaan	3013	1775	3-Mar-95	Disaster	35000000	1075000	1925000
One By Two	2104	1776	31-Jan-14	Disaster	210000000	27700000	28030000
Beiimaan Love	3412	1777	14-Oct-16	Disaster	NaN	21000000	22325000
Nazarr	2712	1778	24-Jan-97	Disaster	12500000	1550000	2200000
Red Alert - The War Within	122	1779	9-Jul-10	Disaster	100000000	13700000	14225000
Patthar Aur Payal	2122	1780	27-Oct-00	Disaster	4500000	1400000	3075000
Aligarh	3233	1781	26-Feb-16	Disaster	110000000	22900000	27025000
Maan Gaye Mughall-E-Azam	331	1782	22-Aug-08	Disaster	80000000	17150000	17550000
Naughty @ 40	797	1783	29-Apr-11	Disaster	100000000	12150000	13900000
Ishq Qayamat	1817	1784	20-Aug-04	Disaster	8500000	3650000	5900000
Malaal	5679	1785	5-Jul-19	Disaster	160000000	29500000	31125000
Waiting	3289	1786	27-May-16	Disaster	65000000	20750000	26560000
Mother	2354	1787	22-Oct-99	Disaster	25000000	2375000	3500000
Water	356	1788	9-Mar-07	Disaster	120000000	12450000	16875000
88 Antop Hill	570	1789	27-Jun-03	Disaster	25000000	6350000	7925000
Veerey Ki Wedding	3723	1790	2-Mar-18	Disaster	160000000	27750000	28550000
Koyelaanchal	2244	1791	9-May-14	Disaster	140000000	15200000	16825000
Darmiyaan	2625	1792	28-Nov-97	Disaster	12500000	2250000	4575000
Rain	1667	1793	30-Sep-05	Disaster	12500000	3600000	6825000
Raqeeb	1466	1794	18-May-07	Disaster	62500000	10250000	11825000
Amavas	5600	1795	8-Feb-19	Disaster	120000000	28100000	29400000
Akaash Vani	1225	1796	25-Jan-13	Disaster	100000000	21300000	22485000
Aaja Sanam	3073	1797	9-Sep-94	Disaster	4000000	NaN	1325000
Enemmy	1288	1798	21-Jun-13	Disaster	120000000	15000000	16675000
Censor	708	1799	6-Apr-01	Disaster	17500000	3100000	3950000
Trapped	3484	1800	17-Mar-17	Disaster	50000000	22950000	28565000
Padosi Ki Biwi	3021	1801	20-Jan-95	Disaster	1250000	NaN	1300000
Hari Puttar - A Comedy Of Terrors	1357	1802	26-Sep-08	Disaster	125000000	15600000	17425000
Raja Ko Rani Se Pyar Ho Gaya	753	1803	22-Dec-00	Disaster	47500000	2800000	3800000
The Zoya Factor	5710	1804	20-Sep-19	Disaster	330000000	27400000	29650000
Super Nani	2359	1805	31-Oct-14	Disaster	180000000	24400000	25450000
Tehzeeb	1188	1806	5-Dec-03	Disaster	50000000	7050000	9350000
Home Delivery	301	1807	2-Dec-05	Disaster	40000000	13950000	14800000
Ek Phool Teen Kaante	2653	1808	29-Aug-97	Disaster	7500000	1650000	2500000
Mysterries Shaque...	1798	1809	1-Oct-04	Disaster	12500000	3200000	4900000
Mumbai Mirror	1219	1810	18-Jan-13	Disaster	180000000	18100000	18800000
Bittoo Boss	2	1811	13-Apr-12	Disaster	100000000	19550000	20075000
Satya 2	1722	1812	8-Nov-13	Disaster	140000000	19950000	20650000
Dahshat	2168	1813	5-May-00	Disaster	3500000	1800000	2725000
Love U...Mr. Kalakaar!	63	1814	13-May-11	Disaster	120000000	12200000	15475000
Mujhe Meri Biwi Se Bachaao	699	1815	29-Jun-01	Disaster	40000000	2600000	3700000
Double Cross - Ek Dhoka	1683	1816	12-Aug-05	Disaster	17500000	3700000	6050000
Galiyon Ka Baadshah	2092	1817	5-Jan-01	Disaster	6000000	1500000	2800000
Kagaar - Living on the Edge	585	1818	31-Oct-03	Disaster	17500000	4500000	7075000
Wajahh - A Reason to Kill	505	1819	8-Oct-04	Disaster	35000000	5950000	7000000
Mastaani... Lost In A Crowd Of Two	1702	1820	3-Jun-05	Disaster	8000000	2800000	5600000
Daku Sultana	2166	1821	19-May-00	Disaster	3000000	1350000	2450000
Shart - The Challenge	495	1822	13-Aug-04	Disaster	45000000	4550000	5825000
Saat Uchakkey	3407	1823	14-Oct-16	Disaster	NaN	20650000	23950000
Chote Nawab Bade Nawab	2513	1824	16-Oct-98	Disaster	3000000	1500000	2300000
Desi Kattey	2315	1825	26-Sep-14	Disaster	120000000	17600000	18550000
Days Of Tafree	3389	1826	23-Sep-16	Disaster	NaN	22050000	24100000
Marshal	1953	1827	13-Sep-02	Disaster	8000000	1850000	3275000
Chhota Bheem Kung Fu Dhamaka	5659	1828	10-May-19	Disaster	NaN	21950000	27800000
Khamoshh... Khauff Ki Raat	1718	1829	15-Apr-05	Disaster	45000000	5750000	7200000
Mohalla Assi	5548	1830	16-Nov-18	Disaster	100000000	23600000	25700000
Victory	994	1831	30-Jan-09	Disaster	190000000	13100000	13485000
Aisi Bhi Kya Jaldi Hai	2803	1832	3-May-96	Disaster	3000000	1050000	2450000
Dhoom Dadakka	1329	1833	23-May-08	Disaster	50000000	8900000	10025000
Hum Hain Khalnayak	2731	1834	6-Dec-96	Disaster	3000000	NaN	1900000
Second Hand Husband	2890	1835	3-Jul-15	Disaster	110000000	22900000	24800000
Pyaasa	650	1836	11-Oct-02	Disaster	22500000	3000000	4700000
Aatma	278	1837	19-May-06	Disaster	25000000	5300000	6600000
Apradhi Kaun?	2162	1838	2-Jun-00	Disaster	4000000	1850000	2775000
Yahaan	418	1839	29-Jul-05	Disaster	35000000	5400000	11600000
Laal Kaptaan	5734	1840	18-Oct-19	Disaster	410000000	26800000	26890000
Aurat Aurat Aurat	2824	1841	16-Feb-96	Disaster	6000000	1250000	1900000
Duplicate Jaani Dushman	1890	1842	5-Sep-03	Disaster	3000000	1550000	3300000
Delhi Safari	1158	1843	19-Oct-12	Disaster	120000000	18350000	21050000
Mumbai Matinee	1194	1844	26-Sep-03	Disaster	20000000	7900000	10250000
Dilliwali Zaalim Girlfriend	2784	1845	20-Mar-15	Disaster	75000000	20750000	23950000
