yr	category	winner	film
2014	best choreographer	Samir And Arsh Tanna	Goliyon Ki Raasleela
2014	lifetime achievement award	Tanuja	
2014	best action	Thomas Struthers And Guru Bachchan	D
2014	r d burman award	Siddharth Mahadevan	Zinda
2014	best newcomer (male)	Dhanush	Raanjhanaa
2014	best newcomer (female)	Vaani Kapoor	Shuddi Desi Romance
2014	best newcomer (director)	Ritesh Batra	The Lunchbox
2014	best background score	Hitesh Sonik	Kai Po Che
2014	best costume designer	Dolly Ahluwalia	Bhaag Milkha Bhaag
2014	best special/visual effects (tata elxsi)	Joel Hynek & Pankaj Khandpur	Dhoom 3
2014	sony trendsetter of the year	Chennai Express	
2013	best film	Barfi!	
2013	best director	Sujoy Ghosh	Kahaani
2013	best actor	Ranbir Kapoor	Barfi!
2013	best actress	Vidya Balan	Kahaani
2013	best music director	Pritam	Barfi!
2013	best actor in a supporting role	Annu Kapoor	Vicky Donor
2013	best actress in a supporting role	Anushka Sharma	Jab Tak Hai Jaan
2013	best story	Juhi Chaturvedi	Vicky Donor 
2013	best cinematography	Sethu	Kahaani
2013	best sound recordist	Sanjay Maurya & Allwin Rego	Kahaani
2013	best editing	Namrata Rao	Kahaani
2013	best playback singer (male)	Ayushmann Khurrana	Pani Da Rang Dekh Ke
2013	best playback singer (female)	Shalmali Kholgade	Pareshaan
2013	best lyricist	Gulzar	Challa  Jab Tak Hai Jaan
2013	best dialogue	Anurag Kashyap|Zeishan Qadri|Akhilesh Jaiswal|Sachin K Ladia	Gangs Of Wasseypur
2013	best production design /art direction	Rajat Podar	Barfi!
2013	best screenplay	Sanjay Chauhan|Tigmanshu Dhulia	Paan Singh Tomar
2013	critics award best film	Gangs Of Wasseypur	Anurag Kashyap
2013	best actor critics award	Irrfan Khan	Paan Singh Tomar
2013	best actress critics award	Richa Chadda	Gangs Of Wasseypur
2013	best choreographer	Bosco  Caesar	Aunty Ji  Ek Main Aur Ekk Tu
2013	lifetime achievement award	Yash Chopra	
2013	best action	Sham Kaushal	Gangs Of Wasseypur
2013	r d burman award	Neeti Mohan	Jiya Re  Jab Tak Hai Jaan
2013	best newcomer (male)	Ayushmann Khurrana	Vicky Donor
2013	best newcomer (female)	Ileana D'Cruz	Barfi!
2013	best newcomer (director)	Gauri Shinde	English Vinglish
2013	best background score	Pritam	Barfi!
2013	best costume designer	Manoshi Nath & Rushi Sharma	Shanghai
2013	sony trendsetter of the year	Barfi!	
2012	best film	Zindagi Na Milegi Dobara	
2012	best director	Zoya Akhtar	Zindagi Na Milegi Dobara
2012	best actor	Ranbir Kapoor	Rockstar
2012	best actress	Vidya Balan	The Dirty Picture
2012	best music director	A.R. Rahman	Rockstar
2012	best actor in a supporting role	Farhan Akhtar	Zindagi Na Milegi Dobara
2012	best actress in a supporting role	Rani Mukherjee	No One Killed Jessica
2012	best story	Sanjay Chauhan	I Am Kalam
2012	best cinematography	Carlos Catalon	Zindagi Na Milegi Dobara
2012	best sound recordist	Nakul Kamte	Don
2012	best editing	Huzefa Lokhandwala	Delhi Belly
2012	best playback singer (male)	Mohit Chauhan	Jo Bhi Main Kehna Chahoon  Rockstar
2012	best playback singer (female)	Rekha Bhardwaj & Usha Uthup	Darling  7 Khoon Maaf
2012	best lyricist	Irshad Kamil	Nadaan Parindey
2012	best dialogue	Farhan Akhtar	Zindagi Na Milegi Dobara
2012	best production design /art direction	Shashank Tere	Delhi Belly
2012	best screenplay	Akshat Verma	Delhi Belly
2012	critics award best film	Zindagi Na Milegi Dobara	Zoya Akhtar
2012	best actor critics award	Ranbir Kapoor	Rockstar
2012	best actress critics award	Priyanka Chopra	7 Khoon Maaf
2012	best choreographer	Bosco  Caesar	Senorita  Zindagi Na Milegi Dobara
2012	lifetime achievement award	Aruna Irani	
2012	best action	Action Concepts	Don
2012	r d burman award	Krsna	Tanu Weds Manu
2012	best newcomer (male)	Vidyut Jamwal	Force
2012	best newcomer (female)	Parineeti Chopra	Ladies V/S Ricky Bahl
2012	best newcomer (director)	Abhinay Deo	Delhi Belly
2012	best background score	Ranjit Barot	Shaitan
2012	best costume designer	Niharika Khan	The Dirty Picture
2012	best special effects	Red Chillies Vfx	Ra.One
2012	idea-sony - best scene of the year	The Dirty Picture	Picture Sirf Teen Wajahon Se Chalti Hai
2012	special jury mention for outstanding performance (certificates)	Partho Gupte	Stanley Ka Dabba
2011	best film		Dabangg
2011	best director	Karan Johar	My Name Is Khan
2011	best actor	Shahrukh Khan	My Name Is Khan
2011	best actress	Kajol	My Name Is Khan
2011	best music director	Sajid Wajid|Lalit Pandit	Dabangg
2011	best actor in a supporting role	Ronit Roy	Udaan
2011	best actress in a supporting role	Kareena Kapoor	We Are Family
2011	best story	Anurag Kashyap|Vikramaditya Motwane	Udaan
2011	best cinematography	Mahendra Shetty	Udaan
2011	best sound recordist	Kunal Sharma	Udaan& Pritam Das
2011	best editing	Namrata Rao	"Love, Sex Aur Dhoka"
2011	best playback singer (male)	Rahat Fateh Ali Khan	Dil Toh Bachcha Hai  Ishqiya
2011	best playback singer (female)	Mamta Sharma	Munni Badnaam Hui  Dabangg & Sunidhi Chauhan
2011	best lyricist	Gulzar	Dil Toh Bachcha Hai
2011	best dialogue	Habib Faisal	Do Dooni Chaar
2011	best production design /art direction	Mukund Gupta	Do Dooni Char
2011	best screenplay	Anurag Kashyap|Vikramaditya Motwane	Udaan
2011	critics award best film	Vikramaditya Motwane	Udaan
2011	best actor critics award	Rishi Kapoor	Do Dooni Chaar
2011	best actress critics award	Vidya Balan	Ishqiya
2011	best choreographer	Farah Khan	Sheila Ki Jaawani  Tees Maar Khan
2011	lifetime achievement award	Manna Dey	
2011	best action	Vijayan Master	Dabangg
2011	r d burman award	Sneha Khanvilkar	"Love,Sex Aur Dhoka"
2011	best newcomer (male)	Ranveer Singh	Band Baaja Baraat
2011	best newcomer (female)	Sonakshi Sinha	Dabangg
2011	best newcomer (director)	Manish Sharma	Band Baaja Baraat
2011	best background score	Amit Trivedi	Udaan
2011	best costume designer	Varsha	Shilpa
2011	idea-sony - best scene of the year	Golmaal3	
2011	special award on completion of 40 years in hindi cinema.	Amitabh Bachchan	
2011	special award on completion of 25 years in hindi cinema.	Madhuri Dixit	
2010	best film	3 Idiots	
2010	best director	Rajkumar Hirani	3 Idiots
2010	best actor	Amitabh Bachchan	Paa
2010	best actress	Vidya Balan	Paa
2010	best music director	A.R. Rahman	Delhi 6
2010	best actor in a supporting role	Boman Irani	3 Idiots
2010	best actress in a supporting role	Kalki Koechlin	Dev D
2010	best story	Abhijat Joshi|Rajkumar Hirani	3 Idiots
2010	best cinematography	Rajeev Ravi	Dev D
2010	best sound recordist	Manas Chaudhary	Firaaq
2010	best editing	A.Sreekar Prasad	Firaaq
2010	best playback singer (male)	Mohit Chauhan	Masakali  Delhi 6
2010	best playback singer (female)	Kavita Seth	Iktara  Wake Up Sid & Rekha Bhardwaj
2010	best lyricist	Irshad Kamil	Aaj Din Chadya
2010	best dialogue	Abhijat Joshi|Rajkumar Hirani	3 Idiots
2010	best production design / art direction	"Helen Jones, Sukanta Panigrahi"	Dev D
2010	best screenplay	Abhijat Joshi|Rajkumar Hirani|Vidhu Vinod Chopra	3 Idiots
2010	critics award best film	Nandita Das	Firaaq
2010	best actor critics award	Ranbir Kapoor	"Wake Up Sid, Ajab Prem Ki Ghazab Kahani & Rocket Singh  The Salesman Of The Year"
2010	best actress critics award	Mahie Gill	Dev D
2010	best choreographer	Bosco Caeser	Chor Bazaari  Love Aaj Kal
2010	lifetime achievement award	Khayyam	
2010	best action	Vijayan Master	Wanted
2010	r d burman award	Amit Trivedi	Dev D
2010	best newcomer (male)	Ayaan Mukerji	Director  Wake Up Sid
2010	best newcomer (female)	Zoya Akhtar	Director  Luck By Chance
2010	best background score	Amit Trivedi	Dev D
2010	best costume designer	Vaishali Menon	Firaaq
2010	best visual effects	"Govardhan Vigharan, Vinay Singh Chuphal"	Kaminey
2009	best film		Jodhaa Akbar
2009	best director	Ashutosh Gowariker	Jodhaa Akbar
2009	best actor	Hrithik Roshan	Jodhaa Akbar
2009	best actress	Priyanka Chopra	Fashion
2009	best music director	A.R. Rahman	Jaane Tu&
2009	best actor in a supporting role	Arjun Rampal	Rock On!
2009	best actress in a supporting role	Kangana Ranaut	Fashion
2009	best story	Abhishek Kapoor	Rock On!
2009	best cinematography	Jason West	Rock On!
2009	best sound recordist	"Baylon Fonseca, Vinod Subramaniam"	Rock On!
2009	best editing	Amit Pawar	Mumbai Meri Jaan
2009	best playback singer (male)	Sukhwinder Singh	Haule Haule  Rab Ne Bana Di Jodi
2009	best playback singer (female)	Shreya Ghoshal	Teri Ore  Singh Is Kinng
2009	best lyricist	Javed Akhtar	Jashn E Bahara
2009	best dialogue	Manu Rishi Chadha	Oye Lucky Lucky Oye
2009	best production design /art direction	"Vandana Kataria, Angelica Bhowmick"	Oye Lucky Lucky Oye
2009	best screenplay	 Yogesh Vinayak Joshi|Upendra Sidhaye	Mumbai Meri Jaan
2009	critics award best film	Nishikant Kamat	Mumbai Meri Jaan
2009	best actor critics award	Manjyot Singh	Oye Lucky Lucky Oye
2009	best actress critics award	Shahana Goswami	Rock On!
2009	best choreographer	Loniginus Fernandes	Pappu Can'T Dance  Jaane Tu&
2009	lifetime achievement award	Om Puri	
2009	best action	Peter Heins	Ghajini
2009	r d burman award	Benny Dayal	"Jaane Tu,Yuvvraaj,Ghajini"
2009	best newcomer (male)	Imran Khan	Jaane Tu & Farhan Akhtar
2009	best newcomer (female)	Asin	Ghajini
2009	best background score	A.R. Rahman	Jodhaa Akbar
2009	best costume designer	"Manoshi Nath,Rushi Sharma"	Oye Lucky Lucky Oye
2009	best visual effects	"Ian Mc Fadyen, John Dietz, Merzin Tavaria"	Love Story 2050
2009	sony- best scene of the year	Yash Chopra	"When Srk Places The Rose On The Table , Then Decides Against In Rab Ne Bana Di Jodi"
2009	special jury mention for outstanding performance(certificates)	Pratik Babbar	Jaane Tu & Purab Kohli
2008	best film		Taare Zameen Par
2008	best director	Aamir Khan	Taare Zameen Par
2008	best actor	Shahrukh Khan	Chak De!India
2008	best actress	Kareena Kapoor	Jab We Met
2008	best music director	A.R. Rahman	Guru
2008	best actor in a supporting role	Irrfan Khan	Life In A Metro
2008	best actress in a supporting role	Konkona Sen Sharma	Life In A Metro
2008	best story	Amole Gupte	Taare Zameen Par
2008	best cinematographer colour	Sudeep Chatterjee	Chak De!India
2008	best sound recordist	"Dwarak Warrier,Madhu Apsara & Leslie Fernandes"	Johnny Gaddar
2008	best editing	Amitabh Shukla	Chak De!India
2008	best playback singer (male)	Shaan	Jab Se Tere Naina  Saawariya
2008	best playback singer (female)	Shreya Ghoshal	Barso Re
2008	best lyricist	Prasoon Joshi	Maa
2008	best dialogue	Imtiaz Ali	Jab We Met
2008	best art director	Sameer Chanda	Guru
2008	best screenplay	Anurag Basu	Life In A Metro
2008	critics award best film	Shimit Amin	Chak De!India
2008	best actor critics award	Darsheel Safary	Taare Zameen Par
2008	best actress critics award	Tabu	Cheeni Kum
2008	best choreographer	Saroj Khan	Barso Re
2008	lifetime achievement award	Rishi Kapoor	
2008	best action	Rob Miller	Chak De!India
2008	r d burman award	Monty Sharma	
2008	best newcomer (male)	Ranbir Kapoor	Saawariya
2008	best newcomer (female)	Deepika Padukone	Om Shanti Om
2008	best background music	A.R. Rahman	Guru
2008	filmfare power award	Yash Chopra & Aditya Chopra	
2008	sony-head & shoulders face of the year	Deepika Padukone	
2008	best costume designer	Sujata Sharma Virk	Gandhi My Father
2008	best special effects	Red Chillies Vfx	Om Shanti Om
2007	best film		Rang De Basanti
2007	best director	Rakesh Omprakash Mehra	Rang De Basanti
2007	best actor	Hrithik Roshan	Dhoom
2007	best actress	Kajol	Fanaa
2007	best music director	A.R. Rahman	Rang De Basanti
2007	best actor in a supporting role	Abhishek Bachchan	Kabhi Alvida Naa Kehna
2007	best actress in a supporting role	Konkona Sen Sharma	Omkara
2007	best story	Vidhu Vinod Chopra|Rajkumar Hirani	Lage Raho Munna Bhai
2007	best cinematographer colour	Binod Pradhan	Rang De Basanti
2007	best sound recordist	"K J Singh, Subhash Sahu & Sajith Koeiri"	Omkara
2007	best editor	P S Bharathi	Rang De Basanti
2007	best playback singer (male)	Shaan & Kailash Kher	Chand Sifarish
2007	best playback singer (female)	Sunidhi Chauhan	Beedi Jalaile
2007	best lyricist	Prasoon Joshi	Chand Sifarish
2007	best dialogue	Rajkumar Hirani|Abhijat Joshi	Lage Raho Munna Bhai
2007	best art director colour	Samir Chanda	Omkara
2007	best actor in a comic role	Arshad Warsi	Lage Raho Munna Bhai
2007	best screenplay	Jaideep Sahni	Khosla Ka Ghosla
2007	critics award best film	Rajkumar Hirani	Lage Raho Munna Bhai
2007	best choreographer	Ganesh Acharya	Beedi Jalaile
2007	best actor in a villainous role	Saif Ali Khan	Omkara
2007	lifetime achievement award	Javed Akhtar	
2007	best action	Tony Ching Siu Tung & Shyam Kaushal	Krrish
2007	best actor/actress critics award	Kareena Kapoor	Omkara
2007	r d burman award	Naresh Iyer	
2007	best newcomer (female)	Kangana Ranaut	Gangster & Who Lamhe
2007	best background music	Salim	Sulaiman
2007	filmfare power award	Yash Chopra & Aditya Chopra	
2007	sony-fair one face of the year	Kangana Ranaut	
2007	special jury recognition	Deepak Dobriyal	Omkara
2007	best costume	Dolly Ahluwalia	Omkara
2007	best special effects	Marc Kolbe & Craig Mumma	Krrish
2006	best film		Black
2006	best director	Sanjay Leela Bhansali	Black
2006	best actor	Amitabh Bachchan	Black
2006	best actress	Rani Mukherjee	Black
2006	best music director	Shankar-Ehsaan-Loy	
2006	best actor in a supporting role	Abhishek Bachchan	Sarkar
2006	best actress in a supporting role	Ayesha Kapoor	Black
2006	best story	Sudhir Mishra|Shiv Kumar Subramanium|Ruchi Narain	Hazaaron Khwaishein Aisi
2006	best cinematographer colour	Ravi K Chandran	Black
2006	best sound recordist	Bishwadeep Chatterjee	Parineeta
2006	best editor	Bela Segal	Black
2006	best playback singer (male)	Himesh Reshammiya	Aashiq Banaya Aapne
2006	best playback singer (female)	Alisha Chinai	Kajrare
2006	best lyricist	Gulzar	Kajrare
2006	best dialogue	Prakash Jha	Apaharan
2006	best art director colour	"Keshto Mondal, Tanushree Sarkar & Pradeep Sarkar"	Parineeta
2006	best actor in a comic role	Akshay Kumar	Garam Masala
2006	bst screenplay	Nina Arora|Manoj Tyagi	Page 3
2006	critics award best film	Sanjay Leela Bhansali	Black
2006	best choreographer	Howard Rosemeyer	Kaisi Paheli
2006	best actor in a villainous role	Nana Patekar	Apaharan
2006	lifetime achievement award	Shabana Azmi	
2006	best action	Allan Amin	Dus
2006	best actor/actress critics award	Rani Mukherjee	Black
2006	r d burman award	Shantanu Moitra	
2006	best newcomer (male)	Shiney Ahuja	Hazaaron Khwaishein Aisi
2006	best newcomer (female)	Vidya Balan	Parineeta
2006	best background music	Monty Sharma	Black
2006	filmfare power award	Yash Chopra & Aditya Chopra	
2006	sony-fair one face of the year	Vidya Balan	
2005	best film	Veer Zara	Yash Chopra
2005	best director	Kunal Kohli	Hum Tum
2005	best actor	Shahrukh Khan	Swades
2005	best actress	Rani Mukherjee	Hum Tum
2005	best music director	Anu Malik	Main Hoon Na
2005	best actor in a supporting role	Abhishek Bachchan	Yuva
2005	best actress in a supporting role	Rani Mukherjee	Yuva
2005	best story	Aditya Chopra	Veer Zara
2005	best cinematographer colour	Christopher Popp	Lakshya
2005	best sound recordist	Dwarak Warrier	Dhoom
2005	best editor	Rameshwar Bhagat	Dhoom
2005	best playback singer (male)	Kunal Ganjawala	Bheegey Honth Tere
2005	best playback singer (female)	Alka Yagnik	Saanso Ko Sanso Mein
